ID_PDG;DATE;RRmm;Tmin;Tmax;ETP;RGI
2847;01/01/2039;22.73;7.332;9.459;0.537;0.658
2847;02/01/2039;15.513;8.337;10.8;0.969;1.234
2847;03/01/2039;31.767;7.874;11.873;1.108;0.816
2847;04/01/2039;3.565;5.595;6.859;0.797;3.956
2847;05/01/2039;2.711;3.887;6.595;0.396;1.38
2847;06/01/2039;0;0.996;4.075;0.173;4.215
2847;07/01/2039;0;-0.486;3.552;0.994;0.998
2847;08/01/2039;0.206;2.44;6.868;0.931;0.747
2847;09/01/2039;0;2.712;9.136;0.257;4.63
2847;10/01/2039;2.811;2.97;5.876;0.463;0.575
2847;11/01/2039;0.633;5.463;11.403;0.955;0.483
2847;12/01/2039;0.231;6.69;12.024;0.746;1.475
2847;13/01/2039;0;1.542;6.123;0.439;2.542
2847;14/01/2039;0.034;-3.36;5.968;0.437;2.909
2847;15/01/2039;0;2.975;10.156;0.885;2.686
2847;16/01/2039;0;6.509;14.526;1.606;2.185
2847;17/01/2039;6.82;7.487;11.766;1.002;0.64
2847;18/01/2039;0.814;5.746;7.956;0.529;1.517
2847;19/01/2039;1.577;0.676;6.342;0.412;1.461
2847;20/01/2039;2.176;-2.059;2.297;0.252;1.245
2847;21/01/2039;0.957;4.807;12.587;0.663;2.647
2847;22/01/2039;8.823;7.44;11.77;0.645;3.15
2847;23/01/2039;4.506;8.315;12.232;0.746;2.815
2847;24/01/2039;6.321;6.087;12.884;0.695;1.574
2847;25/01/2039;2.263;6.567;12.95;0.934;2.385
2847;26/01/2039;2.519;6.669;14.966;1.283;4.759
2847;27/01/2039;11.594;10.971;16.218;1.234;2.163
2847;28/01/2039;0.587;8.689;12.362;1.103;1.222
2847;29/01/2039;0.224;5.534;7.451;0.553;4.766
2847;30/01/2039;0;0.731;8.675;0.542;4.458
2847;31/01/2039;0.195;0.926;5.8;0.406;2.232
2847;01/02/2039;0;0.457;3.855;0.307;6.033
