ID_PDG;DATE;RRmm;Tmin;Tmax;ETP;RGI
2847;01/01/2046;5.265;7.725;8.963;0.888;1.632
2847;02/01/2046;0;5.669;10.07;0.59;1.736
2847;03/01/2046;3.808;5.944;13.657;0.996;2.952
2847;04/01/2046;1.963;6.495;9.506;1.132;3.131
2847;05/01/2046;0;6.245;9.234;1.113;0.674
2847;06/01/2046;0;4.301;12.653;0.933;4.607
2847;07/01/2046;1.994;3.142;10.6;0.634;3.869
2847;08/01/2046;0.1;3.188;5.91;0.439;2.609
2847;09/01/2046;0.474;2.895;4.72;0.533;2.968
2847;10/01/2046;0.298;0.369;0.838;0.285;1.689
2847;11/01/2046;0.067;-2.025;1.078;0.314;2.421
2847;12/01/2046;14.405;-0.725;5.83;1.022;0.552
2847;13/01/2046;10.589;8.466;11.691;0.918;1.873
2847;14/01/2046;2.774;8.317;10.403;0.914;2.834
2847;15/01/2046;1.557;4.514;10.984;0.562;1.156
2847;16/01/2046;3.869;2.377;8.419;0.236;4.371
2847;17/01/2046;1.326;5.039;9.501;0.683;4.432
2847;18/01/2046;0.603;6.616;11.846;0.202;0.975
2847;19/01/2046;4.106;11.665;14.648;0.789;1.385
2847;20/01/2046;0;12.624;18.029;2.447;3.106
2847;21/01/2046;0;10.317;16.653;1.86;3.159
2847;22/01/2046;8.93;6.954;11.617;0.541;2.578
2847;23/01/2046;0.255;2.192;6.15;0.3;5.897
2847;24/01/2046;0;1.055;6.2;0.386;6.162
2847;25/01/2046;0.1;-0.303;8.31;0.504;4.332
2847;26/01/2046;0;-0.332;10.991;0.596;6.268
2847;27/01/2046;0;2.888;10.491;0.783;5.436
2847;28/01/2046;0;2.459;10.972;0.442;6.695
2847;29/01/2046;0;5.94;11.829;1.159;6.774
2847;30/01/2046;5.748;3.759;10.195;0.602;1.162
2847;31/01/2046;0.898;1.616;5.784;0.484;6.337
2847;01/02/2046;0;-0.203;5.987;0.833;6.396
2847;02/02/2046;0.605;-0.082;5.549;0.612;5.533
2847;03/02/2046;0.734;1.099;5.344;0.527;6.193
2847;04/02/2046;0;1.183;4.344;0.5;7.285
2847;05/02/2046;0;-1.782;3.105;0.49;8.138
2847;06/02/2046;0.066;-2.411;2.645;0.357;8.24
2847;07/02/2046;0;-3.7;1.46;0.523;5.307
2847;08/02/2046;0;0.605;5.85;0.662;6.202
2847;09/02/2046;0.271;-1.049;5.586;0.423;6.172
2847;10/02/2046;1.444;-1.188;0.831;0.307;1.616
2847;11/02/2046;0.552;-2.126;3.717;0.41;6.041
2847;12/02/2046;3.534;-3.669;2.965;0.284;1.49
2847;13/02/2046;4.572;2.555;11.629;0.555;6.766
2847;14/02/2046;2.027;3.591;5.112;0.309;1.308
2847;15/02/2046;0;3.912;11.592;0.953;7.092
2847;16/02/2046;5.724;4.317;7.606;0.554;1.3
