int(self),prey_max_transfer,prey_energy_reproduce,predator_energy_transfer,predator_energy_reproduce,self.nb_predators,self.nb_preys
0,0.05,0.5,0.2,0.8,0,22
1,0.05,0.5,0.2,0.8,0,26
