ID_PDG;DATE;RRmm;Tmin;Tmax;ETP;RGI
2847;01/01/2011;0.1;-0.5;0.7;0.1;1.687
2847;02/01/2011;0;-1.4;2.2;0.2;4.797
2847;03/01/2011;0;-5.6;-2.7;0.2;3.616
2847;04/01/2011;0;-4;-3.1;0.1;2.342
2847;05/01/2011;1.5;-5.1;5;0.6;6.003
2847;06/01/2011;4.1;-1.9;10.4;0.3;1.626
2847;07/01/2011;4.7;9.7;11.3;0.5;1.263
2847;08/01/2011;0.1;10;14;1.1;2.845
2847;09/01/2011;8.9;7;10.6;0.7;0.982
2847;10/01/2011;0;2.6;4;0.4;4.241
2847;11/01/2011;0.3;1.4;6.2;0.3;2.426
2847;12/01/2011;1.3;5.3;10.4;1;0.741
2847;13/01/2011;1.8;7.7;12.4;0.5;2.204
2847;14/01/2011;1.3;9.3;12.1;0.8;4.44
2847;15/01/2011;0;6.7;12.4;1.1;4.463
2847;16/01/2011;0;-0.2;10.6;1.1;6.962
2847;17/01/2011;0.1;-1.3;11.2;1;6.073
2847;18/01/2011;1.1;4.9;11.8;0.9;2.883
2847;19/01/2011;0.8;2.2;5.3;0.7;4.344
2847;20/01/2011;1.4;-0.4;3;0.5;4.152
2847;21/01/2011;0;-1.2;0.4;0.6;2.064
2847;22/01/2011;0;-1.3;-0.1;0.9;5.35
2847;23/01/2011;0;-5.4;0.4;0.5;4.764
2847;24/01/2011;0.1;-2.8;1;0.3;2.779
2847;25/01/2011;1.3;0.4;5.8;0.8;4.254
2847;26/01/2011;0.7;2;4.9;0.5;1.257
2847;27/01/2011;0;1.1;1.8;0.4;2.885
2847;28/01/2011;0;-0.5;2.5;0.7;5.113
2847;29/01/2011;0;-1.4;-0.3;0.5;4.899
2847;30/01/2011;0;-4;-0.6;0.8;8.225
2847;31/01/2011;0;-4.2;-1.4;0.6;7.834
2847;01/02/2011;0;-2.6;-1.2;0.4;7.338
2847;02/02/2011;0;-2.5;2.1;0.5;8.452
2847;03/02/2011;1;-1.5;2.7;0.3;2.02
