cycle: 35; nbPreys: 36; minEnergyPreys: 0.21078431372548984; maxSizePreys: 1.0; nbPredators: 36; minEnergyPredators: 2.2778580280285315E-4; maxSizePredators: 1.0
cycle: 36; nbPreys: 29; minEnergyPreys: 0.19313725490196043; maxSizePreys: 1.0; nbPredators: 35; minEnergyPredators: 0.2399999999999998; maxSizePredators: 1.0
cycle: 37; nbPreys: 27; minEnergyPreys: 0.24313725490196045; maxSizePreys: 1.0; nbPredators: 38; minEnergyPredators: 0.2199999999999998; maxSizePredators: 1.0
cycle: 38; nbPreys: 24; minEnergyPreys: 0.2931372549019604; maxSizePreys: 1.0; nbPredators: 38; minEnergyPredators: 0.19999999999999982; maxSizePredators: 1.0
cycle: 39; nbPreys: 23; minEnergyPreys: 0.34313725490196045; maxSizePreys: 1.0; nbPredators: 40; minEnergyPredators: 0.17999999999999983; maxSizePredators: 1.0
cycle: 40; nbPreys: 18; minEnergyPreys: 0.3931372549019605; maxSizePreys: 1.0; nbPredators: 40; minEnergyPredators: 0.15999999999999984; maxSizePredators: 1.0
cycle: 41; nbPreys: 15; minEnergyPreys: 0.44313725490196054; maxSizePreys: 1.0; nbPredators: 42; minEnergyPredators: 0.13999999999999985; maxSizePredators: 1.0
cycle: 42; nbPreys: 14; minEnergyPreys: 0.4931372549019606; maxSizePreys: 1.0; nbPredators: 42; minEnergyPredators: 0.11999999999999984; maxSizePredators: 1.0
cycle: 43; nbPreys: 12; minEnergyPreys: 0.6500000000000001; maxSizePreys: 1.0; nbPredators: 42; minEnergyPredators: 0.09999999999999984; maxSizePredators: 1.0
cycle: 44; nbPreys: 10; minEnergyPreys: 0.7000000000000001; maxSizePreys: 1.0; nbPredators: 42; minEnergyPredators: 0.07999999999999984; maxSizePredators: 1.0
cycle: 45; nbPreys: 9; minEnergyPreys: 0.75; maxSizePreys: 1.0; nbPredators: 42; minEnergyPredators: 0.05999999999999983; maxSizePredators: 1.0
cycle: 46; nbPreys: 9; minEnergyPreys: 0.7999999999999999; maxSizePreys: 1.0; nbPredators: 42; minEnergyPredators: 0.03999999999999983; maxSizePredators: 0.98
cycle: 47; nbPreys: 8; minEnergyPreys: 0.8401960784313711; maxSizePreys: 1.0; nbPredators: 42; minEnergyPredators: 0.019999999999999827; maxSizePredators: 1.0
cycle: 48; nbPreys: 8; minEnergyPreys: 0.8352941176470573; maxSizePreys: 1.0; nbPredators: 41; minEnergyPredators: 0.08666666666666667; maxSizePredators: 0.98
cycle: 49; nbPreys: 8; minEnergyPreys: 0.8303921568627435; maxSizePreys: 1.0; nbPredators: 41; minEnergyPredators: 0.06666666666666667; maxSizePredators: 0.96
cycle: 50; nbPreys: 7; minEnergyPreys: 0.8264705882352924; maxSizePreys: 1.0; nbPredators: 41; minEnergyPredators: 0.04666666666666666; maxSizePredators: 0.94
cycle: 51; nbPreys: 7; minEnergyPreys: 0.8254901960784296; maxSizePreys: 1.0; nbPredators: 41; minEnergyPredators: 0.02666666666666666; maxSizePredators: 0.9199999999999999
cycle: 52; nbPreys: 6; minEnergyPreys: 0.8245098039215667; maxSizePreys: 1.0; nbPredators: 41; minEnergyPredators: 0.006666666666666661; maxSizePredators: 1.0
cycle: 53; nbPreys: 5; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 40; minEnergyPredators: 0.0999999999999994; maxSizePredators: 1.0
cycle: 54; nbPreys: 2; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 40; minEnergyPredators: 0.07999999999999939; maxSizePredators: 1.0
cycle: 55; nbPreys: 2; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 40; minEnergyPredators: 0.05999999999999939; maxSizePredators: 0.98
cycle: 56; nbPreys: 2; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 40; minEnergyPredators: 0.03999999999999938; maxSizePredators: 0.96
cycle: 57; nbPreys: 1; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 40; minEnergyPredators: 0.019999999999999383; maxSizePredators: 0.94
cycle: 58; nbPreys: 1; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 38; minEnergyPredators: 0.019999999999999383; maxSizePredators: 0.9199999999999999
cycle: 59; nbPreys: 1; minEnergyPreys: 1.0; maxSizePreys: 1.0; nbPredators: 36; minEnergyPredators: 0.06999999999999985; maxSizePredators: 0.8999999999999999
